"NOMBRE";"SEXO";"AÑO DE NACIMIENTO";"G PARLAMENTARIO";"ECIVIL";"NIVEL ACADEMICO";"ORIGEN";"ESCAÑO";"NAINE";"CARGO";"Campo11";"Campo12";"Campo13";"Campo14";"Campo15";"Campo16";"Campo17";"Campo18";"Campo19"
"Pedro, Acedo Penco ";"Hombre";1955,00;"Grupo Popular";"Separado";"Técnico en Publicidad. Director de Radio. Empresario";"Badajoz";;;"Diputado. Alcalde de Mérida durante 16 años. Diputado autonómico de Extremadura durante ocho años. Senador durante 4 años. Concejal durante 9 años. ";;;;;;;;;
"Joseba Andoni, Agirretxea Urresti";"Hombre";1966,00;"Grupo Vasco EAJ-PNV";"Casado";"Licenciado en Filología Vasca. Asesor de Comunicación en instituciones. Profesional de la comunicación en Radio y TV y Consultor. ";"Gipuzkoa";;;"Diputado. Concejal en Ondarroa (1987-1990). Miembro de la Asamblea Nacional del PNV.";;;;;;;;;
"Ernesto, Aguiar Rodríguez";"Hombre";1961,00;"Grupo Popular";"Casado";"Técnico especialista en Dibujo Lineal";"Santa Cruz de Tenerife";;;"Diputado. Concejal del Ayuntamiento de Breña Baja (1996-1999).  Consejero del Cabildo Insular de La Palma (1999-2003). Diputado del Parlamento de Canarias (2004-2007).  Director General de Desarrollo Rural de Canarias (2007-2010)";;;;;;;;;
"Ramón, Aguirre Rodríguez";"Hombre";1953,00;"Grupo Popular";"Casado ";"Directivo Bancario";"Guadalajara";;;"Diputado. Presidente de la Comisión del Pacto de Toledo.  Presidente del Instituto de Crédito Oficial (ICO).  Consejero Delegado de Metro de Madrid S.A. Presidente de la Sociedad Estatal de Participaciones Industriales (SEPI)";;;;;;;" ";;
"Nayua Miram, Alba Goveli";"Mujer";1990,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltera";"Licenciada en Psicología  y Máster en Psicología de la Educación. ";"Gipuzkoa";;;"Diputada. Secretaria General de Podemos Euskadi";;;;;;;;;
"Maria Dolores, Alba Mullor";"Mujer";1964,00;"Grupo Popular";"Casada";"Licenciada en Derecho. Abogada no ejerciente. ";"Alicante";;;"Diputada. Concejal del Ayuntamiento de Alcoy hasta 2007, en la oposición y en el Gobierno como Concejala de Hacienda.  Asesora de Asuntos Parlamentarios de la Consellería de Cultura (2007-2008) ";;;;;;;" ";;
"Joaquín, Abaladejo Martínez";"Hombre";1973,00;"Grupo Popular";"Casado";"Licenciado en Derecho. Agente de la Propiedad Inmobiliaria. Administrador de fincas urbanas. ";"Alicante";;;"Diputado. Concejal del Ayuntamiento de Torrevieja";;;;;;;;;
"Miriam, Alconchel Gonzaga";"Mujer";1978,00;"Grupo Socialista";"Casada";"Abogada y Administradora de Fincas no ejerciente. Licenciada en Derecho.  ";"Cádiz";;;"Diputada. Delegada Territorial de Igualdad, Salud y Políticas Sociales en Cádiz de la Junta de Andalucía (2013-2015). Concejal del Ayuntamiento de Jerez (2007-2013).";;;;;;;;;
"Iñigo Jesús, Allí Martínez";"Hombre";1973,00;"Grupo Mixto UPN-PP";"Divorciado";"Licenciado en Ciencias Biológicas, especialidad Molecular. ";"Navarra";;;"Diputado. Fundador de la Asociación Síndrom UP! por la Discapacidad.  Ex-Director de Capital Riesgo. Ex-Director del Centro Cultural Civican. Ex - Consejero de Políticas Sociales del Gobierno de Navarra. ";;;;;;;;;
"Félix, Alonso Cantorné";"Hombre";1959,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM) ";"Divorciado";"Licenciado en Geografía e Historia. ";"Tarragona";;;"Diputado. Alcalde de Altafulla.  Responsable de actividad sindical del Sindicato de Periodistes de Catalunya (1993-2001).";;;;;;;;;
